-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      73.762us         0.11%      73.762us       1.891us            39  
                                           aten::arange         0.13%     279.312us         0.57%       1.251ms      17.377us      49.186us         0.07%      98.372us       1.366us            72  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      49.186us         0.07%      49.186us       1.366us            36  
                                           aten::argmax         0.03%      67.951us         0.06%     125.218us      41.739us      40.320us         0.06%      40.320us      13.440us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.152us         0.06%      37.152us      12.384us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      37.023us         0.05%      37.023us       2.468us            15  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      35.838us         0.05%      35.838us       1.156us            31  
                                            aten::index         0.08%     175.552us         0.17%     373.761us      53.394us      25.281us         0.04%      33.889us       4.841us             7  
                                     aten::index_select         0.04%      87.727us         0.09%     205.260us      34.210us      15.008us         0.02%      18.528us       3.088us             6  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      15.008us         0.02%      15.008us       7.504us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.721us         0.02%      14.721us       3.680us             4  
                                 aten::_index_put_impl_         0.03%      55.914us         0.09%     195.332us      65.111us      12.992us         0.02%      27.488us       9.163us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.992us         0.02%      12.992us       4.331us             3  
                                  cudaStreamIsCapturing         0.02%      50.038us         0.02%      50.038us       2.502us      11.712us         0.02%      11.712us       0.586us            20  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      11.135us         0.02%      11.135us       3.712us             3  
void vllm::rms_norm_kernel<c10::Half, 8, 2>(c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us      10.560us         0.02%      10.560us       3.520us             3  
                                            aten::fill_         0.05%     105.872us         0.11%     233.375us      15.558us       8.417us         0.01%       8.417us       0.561us            15  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       8.224us         0.01%       8.224us       2.741us             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       7.392us         0.01%       7.392us       2.464us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.856us         0.01%       5.856us       5.856us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.728us         0.01%       5.728us       1.432us             4  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.696us         0.01%       5.696us       1.899us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.417us         0.01%       4.417us       1.472us             3  
                                           aten::gather         0.01%      23.927us         0.02%      38.965us      38.965us       3.520us         0.01%       3.520us       3.520us             1  
                                         aten::scatter_         0.01%      16.221us         0.01%      24.667us      24.667us       3.040us         0.00%       3.040us       3.040us             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.040us         0.00%       3.040us       3.040us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.689us         0.00%       2.689us       1.344us             2  
                  execute_context_1(16)_generation_0(0)        33.31%      72.685ms        55.73%     121.607ms     121.607ms       0.000us         0.00%      14.612ms      14.612ms             1  
