cell,tpot_ms,ttft_med_ms,tput
auto-s16384-c1,14.435885384253513,1569.9770997744054,35.86307146068396
auto-s32768-c1,15.797369820102464,3921.754489419982,21.06883353185232
turboquant_3bit_nc-s16384-c1,23.497836253657116,1681.5464282408357,25.686433619814412
turboquant_3bit_nc-s16384-c8,160.55456600261954,2975.8169553242624,42.481469656136966
turboquant_3bit_nc-s32768-c1,33.3116033250158,4323.279052972794,14.464650436947844
turboquant_3bit_nc-s32768-c4,173.61791470036732,7249.6889310423285,17.881197191204294
turboquant_4bit_nc-s16384-c1,21.265350887185242,1719.4373852107674,27.092160625786192
turboquant_4bit_nc-s16384-c8,135.234114873465,2985.1850965060294,46.43865611560141
turboquant_4bit_nc-s32768-c1,28.81880299789523,4337.4538293574005,15.428025576602964
turboquant_4bit_nc-s32768-c4,146.58843207275712,6934.040853986517,20.333148884382943
