seq,batch,nbytes,g2c_med_s,c2g_med_s,g2c_GBs,c2g_GBs,note
16384,1,603979776,0.02322566881775856,0.023024747846648097,26.004838902128473,26.23176505656831,
16384,4,2415919104,0.09254575800150633,0.09247780917212367,26.105130652889322,26.124311611917488,
16384,8,4831838208,0.1847569909878075,0.18506975285708904,26.15239716866174,26.10820046715655,
32768,1,1207959552,0.04622953711077571,0.04637133586220443,26.129605172240304,26.04970354077212,
32768,4,4831838208,0.18464274401776493,0.18497875100001693,26.16857886132323,26.12104461663036,
32768,8,9663676416,0.36961397994309664,0.37061451585032046,26.145321715070835,26.0747380437275,
