seq,batch,nbytes,g2c_med_s,c2g_med_s,g2c_GBs,c2g_GBs,note
1024,1,37748736,0.001669601071625948,0.0014652619138360023,22.60943445803987,25.762449459411105,
1024,8,301989888,0.013136587105691433,0.01152472710236907,22.988458537237783,26.203647628057215,
1024,32,1207959552,0.04615423874929547,0.04642193904146552,26.17223433283122,26.021307531359536,
4096,1,150994944,0.005775943864136934,0.005781084299087524,26.142038003093074,26.11879297865156,
4096,8,1207959552,0.04596269270405173,0.04621485387906432,26.281305139755553,26.137906984646225,
4096,32,4831838208,0.18510880274698138,0.18499392317608,26.102692774716214,26.118902313353203,
8192,1,301989888,0.01150705199688673,0.02312747063115239,26.243897053885245,13.057627131659771,
8192,8,2415919104,0.09227350167930126,0.09241328667849302,26.182154790186505,26.1425514753632,
8192,32,9663676416,0.37127224495634437,0.3706905450671911,26.028545217906856,26.069390073729473,
16384,1,603979776,0.023004475980997086,0.02302944427356124,26.254880854444117,26.226415575880566,
16384,8,4831838208,0.18453311501070857,0.18489836109802127,26.18412531387445,26.13240149510286,
16384,32,19327352832,0.7410411527380347,0.7429009270854294,26.08134887055646,26.01605695637726,
