-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       6.355ms         0.14%       6.355ms     176.538us            36  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       3.665ms         0.08%       3.665ms     101.802us            36  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       3.067ms         0.07%       3.067ms      42.598us            72  
                                  cudaStreamIsCapturing         0.01%     514.411us         0.01%     514.411us       1.292us       2.238ms         0.05%       2.238ms       5.623us           398  
                                           aten::argmax         0.05%       2.690ms         0.08%       4.764ms      36.931us       1.920ms         0.04%       1.920ms      14.887us           129  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.770ms         0.04%       1.770ms       2.744us           645  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.748ms         0.04%       1.748ms      13.553us           129  
                                        cudaEventRecord         0.01%     609.120us         0.01%     609.120us       2.343us       1.659ms         0.04%       1.659ms       6.380us           260  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.291ms         0.03%       1.291ms       1.414us           913  
                                _vllm_fa2_C::varlen_fwd         0.03%       1.615ms         0.08%       4.511ms      62.655us       1.240ms         0.03%       1.240ms      17.223us            72  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       1.240ms         0.03%       1.240ms      17.223us            72  
                                Activity Buffer Request         0.55%      32.180ms         0.55%      32.180ms       2.475ms       1.197ms         0.03%       1.197ms      92.113us            13  
                                            aten::index         0.09%       5.164ms         0.20%      12.042ms      46.495us     877.978us         0.02%       1.274ms       4.920us           259  
                                     aten::index_select         0.04%       2.252ms         0.08%       4.445ms      17.231us     824.865us         0.02%     828.257us       3.210us           258  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     824.865us         0.02%     824.865us       6.444us           128  
                                 aten::_index_put_impl_         0.04%       2.593ms         0.15%       8.934ms      69.254us     658.183us         0.01%       1.388ms      10.758us           129  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     658.183us         0.01%     658.183us       5.102us           129  
                                           Buffer Flush         0.03%       1.479ms         0.03%       1.507ms     107.668us     579.581us         0.01%     579.581us      41.399us            14  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     576.280us         0.01%     576.280us       4.433us           130  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     521.849us         0.01%     521.849us       4.045us           129  
                                            aten::fill_         0.05%       2.819ms         0.09%       5.488ms       8.509us     476.473us         0.01%     476.473us       0.739us           645  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     472.986us         0.01%     472.986us       1.848us           256  
void vllm::rms_norm_kernel<c10::Half, 8, 2>(c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us     420.190us         0.01%     420.190us       3.257us           129  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     299.362us         0.01%     299.362us       2.321us           129  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.206us         0.01%     293.206us       2.273us           129  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     290.522us         0.01%     290.522us       2.252us           129  
                               cudaEventRecordWithFlags         0.01%     851.511us         0.01%     864.186us       3.249us     257.629us         0.01%     257.629us       0.969us           266  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     239.451us         0.01%     239.451us       1.856us           129  
                                    cudaStreamWaitEvent         0.01%     511.298us         0.01%     511.298us       3.964us      88.927us         0.00%      88.927us       0.689us           129  
                                   cudaEventSynchronize         0.04%       2.223ms         0.04%       2.223ms       8.549us      82.143us         0.00%      82.143us       0.316us           260  
                                       cuLaunchKernelEx         0.02%       1.053ms         0.06%       3.277ms      25.407us      48.481us         0.00%      48.481us       0.376us           129  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.728us         0.00%       5.728us       5.728us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.487us         0.00%       3.487us       1.744us             2  
                                           aten::gather         0.00%      26.199us         0.00%      42.300us      42.300us       3.392us         0.00%       3.392us       3.392us             1  
                                         aten::scatter_         0.00%      16.553us         0.00%      27.362us      27.362us       3.296us         0.00%       3.296us       3.296us             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.296us         0.00%       3.296us       3.296us             1  
                  execute_context_1(16)_generation_0(0)         1.23%      72.469ms         2.11%     124.058ms     124.058ms       0.000us         0.00%      14.639ms      14.639ms             1  
                                            aten::empty         2.27%     133.622ms         2.28%     134.255ms       4.794us       0.000us         0.00%       0.000us       0.000us         28003  
                                         cudaEventQuery         0.02%       1.227ms         0.02%       1.227ms       8.954us       0.000us         0.00%       0.000us       0.000us           137  
                                               aten::to         0.38%      22.651ms         8.00%     470.793ms      23.271us       0.000us         0.00%      84.018ms       4.153us         20231  
                                       aten::lift_fresh         0.00%      74.830us         0.00%      74.830us       0.279us       0.000us         0.00%       0.000us       0.000us           268  
                                          aten::detach_         0.00%       3.755us         0.00%       3.755us       0.376us       0.000us         0.00%       0.000us       0.000us            10  
                                         aten::_to_copy         1.08%      63.384ms         7.62%     448.142ms      22.843us       0.000us         0.00%      84.018ms       4.283us         19618  
                                    aten::empty_strided         2.59%     152.584ms         2.62%     154.089ms       5.281us       0.000us         0.00%       0.000us       0.000us         29179  
                                        cudaMemcpyAsync         1.15%      67.874ms         1.15%      67.899ms      11.184us       0.000us         0.00%       0.000us       0.000us          6071  
                                            aten::slice         0.87%      51.114ms         1.13%      66.573ms       2.765us       0.000us         0.00%       7.424us       0.000us         24080  
                                       aten::as_strided         0.97%      57.363ms         0.97%      57.363ms       0.755us       0.000us         0.00%       0.000us       0.000us         75928  
