cell,tpot_ms,ttft_ms,output_throughput
f0-turboquant_3bit_nc-c8,82.89850295675316,1938.4308329317719,79.73107529943395
f0-turboquant_4bit_nc-c8,69.61666063706237,1777.704211184755,84.26494682712773
f1-turboquant_3bit_nc-c8,166.13242105492867,2411.3078541122377,42.40318462231839
f1-turboquant_4bit_nc-c8,156.77350283945052,2249.6436685323715,44.5525954392146
f2-turboquant_3bit_nc-c8,159.80591262712724,2185.237751342356,44.803483794886795
f2-turboquant_4bit_nc-c8,150.30649655652562,2004.4103600084782,47.300515877527715
f4-turboquant_3bit_nc-c8,120.47089238130437,2028.594768140465,57.943574713020126
f4-turboquant_4bit_nc-c8,107.55247374497881,1834.7063271794468,64.04140166258006
f8-turboquant_3bit_nc-c1,24.661954781993874,752.5627366267145,32.70223666532224
f8-turboquant_3bit_nc-c8,98.41375711821313,1936.4533161278814,68.87596491169191
f8-turboquant_4bit_nc-c1,24.667283234105803,762.2385127469897,32.61092420114609
f8-turboquant_4bit_nc-c8,87.38217758579458,1743.5254794545472,76.08760109829831
