-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add         0.07%       3.446ms         0.12%       5.564ms      14.376us     587.874us         0.03%     587.874us       1.519us           387  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     576.411us         0.03%     576.411us       4.434us           130  
                               cudaEventRecordWithFlags         0.02%     813.408us         0.02%     846.050us       3.181us     543.035us         0.02%     543.035us       2.041us           266  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     521.747us         0.02%     521.747us       4.045us           129  
                                            aten::fill_         0.06%       2.880ms         0.12%       5.631ms       8.729us     476.159us         0.02%     476.159us       0.738us           645  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     472.607us         0.02%     472.607us       1.846us           256  
                                       cuLaunchKernelEx         0.02%       1.165ms         0.02%       1.165ms       9.033us     468.541us         0.02%     468.541us       3.632us           129  
                                        cudaEventRecord         0.01%     602.246us         0.01%     602.246us       2.316us     437.021us         0.02%     437.021us       1.681us           260  
void vllm::rms_norm_kernel<c10::Half, 8, 2>(c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us     420.825us         0.02%     420.825us       3.262us           129  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     357.405us         0.02%     357.405us       9.928us            36  
                                Activity Buffer Request         0.41%      19.016ms         0.41%      19.016ms       2.377ms     340.287us         0.02%     340.287us      42.536us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     300.635us         0.01%     300.635us       2.331us           129  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     297.955us         0.01%     297.955us       2.310us           129  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     294.115us         0.01%     294.115us       2.280us           129  
                                    cudaStreamWaitEvent         0.01%     476.039us         0.01%     476.039us       3.690us     293.822us         0.01%     293.822us       2.278us           129  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.759us         0.01%     293.759us       2.277us           129  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     284.918us         0.01%     284.918us       2.209us           129  
                                              aten::sub         0.04%       1.839ms         0.06%       3.043ms      23.589us     238.845us         0.01%     238.845us       1.852us           129  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     238.845us         0.01%     238.845us       1.852us           129  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     142.623us         0.01%     142.623us       1.106us           129  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.920us         0.00%       5.920us       5.920us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.552us         0.00%       3.552us       1.776us             2  
                                           aten::gather         0.00%      26.310us         0.00%      42.681us      42.681us       3.456us         0.00%       3.456us       3.456us             1  
                                         aten::scatter_         0.00%      21.743us         0.00%      32.713us      32.713us       3.424us         0.00%       3.424us       3.424us             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.424us         0.00%       3.424us       3.424us             1  
                  execute_context_1(16)_generation_0(0)         1.32%      61.639ms         2.12%      99.103ms      99.103ms       0.000us         0.00%      20.413ms      20.413ms             1  
                                            aten::empty         3.64%     170.396ms         3.64%     170.436ms       4.597us       0.000us         0.00%       0.000us       0.000us         37075  
                                         cudaEventQuery         0.03%       1.230ms         0.03%       1.230ms       8.979us       0.000us         0.00%       0.000us       0.000us           137  
                                               aten::to         0.04%       1.865ms         0.67%      31.428ms      21.840us       0.000us         0.00%       3.649ms       2.535us          1439  
                                       aten::lift_fresh         0.00%      89.572us         0.00%      89.572us       0.334us       0.000us         0.00%       0.000us       0.000us           268  
                                          aten::detach_         0.00%       3.819us         0.00%       3.819us       0.382us       0.000us         0.00%       0.000us       0.000us            10  
                                         aten::_to_copy         0.08%       3.836ms         0.63%      29.563ms      28.371us       0.000us         0.00%       3.649ms       3.502us          1042  
                                    aten::empty_strided         2.50%     117.272ms         2.53%     118.462ms       6.021us       0.000us         0.00%       0.000us       0.000us         19675  
                                        cudaMemcpyAsync         0.30%      14.006ms         0.30%      14.017ms       9.822us       0.000us         0.00%       0.000us       0.000us          1427  
                                            aten::slice         0.59%      27.573ms         0.74%      34.835ms       2.366us       0.000us         0.00%       3.136us       0.000us         14720  
                                       aten::as_strided         1.31%      61.541ms         1.31%      61.541ms       0.685us       0.000us         0.00%       0.000us       0.000us         89788  
                                          aten::flatten         0.01%     286.290us         0.02%     851.860us       6.604us       0.000us         0.00%       0.000us       0.000us           129  
                                             aten::view         0.94%      44.192ms         0.94%      44.192ms       0.726us       0.000us         0.00%       0.000us       0.000us         60860  
                                           aten::detach         0.01%     358.162us         0.01%     358.162us       1.388us       0.000us         0.00%       0.000us       0.000us           258  
                                     aten::resolve_conj         0.00%      83.660us         0.00%      83.660us       0.324us       0.000us         0.00%       0.000us       0.000us           258  
                                      aten::resolve_neg         0.00%      35.914us         0.00%      35.914us       0.139us       0.000us         0.00%       0.000us       0.000us           258  
                                       cudaLaunchKernel        12.96%     607.006ms        13.05%     611.325ms       8.511us       0.000us         0.00%     165.663us       0.002us         71825  
                                          aten::reshape         0.79%      37.130ms         4.20%     196.770ms      10.464us       0.000us         0.00%      19.300ms       1.026us         18805  
                                               aten::lt         0.02%     734.389us         0.02%     734.389us       5.693us       0.000us         0.00%       0.000us       0.000us           129  
                                        aten::embedding         0.01%     341.284us         0.10%       4.676ms      36.251us       0.000us         0.00%     807.988us       6.263us           129  
