-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.559us         0.01%      10.559us       1.508us             7  
                                  cudaStreamIsCapturing         0.02%      35.188us         0.02%      35.188us       2.070us       8.672us         0.01%       8.672us       0.510us            17  
                                            aten::fill_         0.08%     145.168us         0.14%     261.450us      17.430us       8.575us         0.01%       8.575us       0.572us            15  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       8.224us         0.01%       8.224us       2.741us             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       6.496us         0.01%       6.496us       2.165us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.048us         0.01%       6.048us       2.016us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.919us         0.01%       5.919us       1.480us             4  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.888us         0.01%       5.888us       5.888us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.664us         0.01%       5.664us       1.888us             3  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.601us         0.01%       5.601us       1.867us             3  
                                              aten::sub         0.04%      72.868us         0.06%     117.122us      39.041us       4.384us         0.01%       4.384us       1.461us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.384us         0.01%       4.384us       1.461us             3  
                                           aten::gather         0.02%      29.947us         0.02%      46.388us      46.388us       3.488us         0.00%       3.488us       3.488us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.232us         0.00%       3.232us       1.077us             3  
                                         aten::scatter_         0.02%      43.833us         0.03%      55.957us      55.957us       2.688us         0.00%       2.688us       2.688us             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.688us         0.00%       2.688us       2.688us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.656us         0.00%       2.656us       1.328us             2  
                  execute_context_1(16)_generation_0(0)        38.08%      73.322ms        58.59%     112.833ms     112.833ms       0.000us         0.00%      20.433ms      20.433ms             1  
                                Activity Buffer Request         1.51%       2.906ms         1.51%       2.906ms       2.906ms       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaEventSynchronize         0.41%     788.252us         0.65%       1.261ms     157.620us       0.000us         0.00%      53.663us       6.708us             8  
                                            aten::empty         2.24%       4.309ms         2.25%       4.339ms       6.564us       0.000us         0.00%       0.000us       0.000us           661  
                                         cudaEventQuery         0.03%      52.669us         0.03%      52.669us       3.762us       0.000us         0.00%       0.000us       0.000us            14  
                                               aten::to         0.04%      76.455us         0.69%       1.322ms      24.943us       0.000us         0.00%      94.305us       1.779us            53  
