cell,median_tpot_ms,median_ttft_ms,output_throughput
w1-s1-b16-4bit_nc-s32k-c1,38.97879012735693,4322.195733897388,13.35856269093
w1-s1-b4-3bit_nc-s32k-c1,33.30734873916514,4310.035309987143,14.465351436061557
w1-s1-b4-4bit_nc-s32k-c1,28.80557266423318,4320.382823003456,15.450905670927268
w1-s1-b4-4bit_nc-s8k-c1,17.44612077375742,748.8588471896946,41.03963220862875
w1-s1-b8-4bit_nc-s32k-c1,29.600882614911423,4315.516026690602,15.289371382208174
w1-s2-b16-4bit_nc-s32k-c1,38.989481705013574,4301.217491738498,13.784921670427513
w1-s2-b4-4bit_nc-s32k-c1,28.805955850306578,4327.66770827584,15.971772110807423
w1-s2-b8-4bit_nc-s32k-c1,29.5832088385804,4310.980219393969,15.787753847911521
w1-s3-b16-4bit_nc-s32k-c1,38.97997087388351,4314.183241687715,13.77747747943301
w1-s3-b4-4bit_nc-s32k-c1,28.81040425391824,4324.5322403963655,15.972345263862154
w1-s3-b8-4bit_nc-s32k-c1,29.601340266457928,4306.130621116608,15.795339258060043
w2-s1-b16-4bit_nc-s32k-c1,34.64464942638681,4321.132614510134,14.650407319353478
w2-s1-b4-4bit_nc-s32k-c1,31.807364771274603,4319.063808768988,15.263901012362208
w2-s1-b8-4bit_nc-s32k-c1,30.38455645267771,4308.95945103839,15.601547123354218
w2-s2-b16-4bit_nc-s32k-c1,34.63683650997563,4299.484301591292,14.664914712822146
w2-s2-b4-4bit_nc-s32k-c1,31.812927914842028,4312.6997128129005,15.27667269249035
w2-s2-b8-4bit_nc-s32k-c1,30.36049838126527,4309.633747441694,15.623130042178516
w2-s3-b16-4bit_nc-s32k-c1,34.616798122127456,4321.039400761947,14.620842698219311
w2-s3-b4-4bit_nc-s32k-c1,31.781967848495352,4301.666327752173,15.28983271597595
w2-s3-b8-4bit_nc-s32k-c1,30.387082606495362,4312.522795284167,15.613167097025524
w4-s1-b16-4bit_nc-s32k-c1,36.35352640412748,4294.480311218649,14.312435129336253
w4-s1-b4-4bit_nc-s32k-c1,33.28177474959805,4315.541248535737,14.953143524914411
w4-s1-b8-4bit_nc-s32k-c1,34.81952948165749,4323.467618320137,14.5943953975421
w4-s2-b16-4bit_nc-s32k-c1,36.36251143399831,4332.368546864018,14.270365328069314
w4-s2-b4-4bit_nc-s32k-c1,33.29674766479632,4308.5590216796845,14.939656731749832
w4-s2-b8-4bit_nc-s32k-c1,34.8128411739214,4320.860016858205,14.602201328190478
w4-s3-b16-4bit_nc-s32k-c1,36.37652698808944,4320.822625653818,14.291197354770649
w4-s3-b4-4bit_nc-s32k-c1,33.283502272308226,4297.005425672978,14.9632786357513
w4-s3-b8-4bit_nc-s32k-c1,34.83630016475447,4319.708391558379,14.588595226020642
